Post Date,Post Subtype,Post Type,Avg Likes Per Post,Number Of Comments,Number Of Likes,Number Of Posts
01-01-2023,Text Post,Text Post,1,4,5,5
01-01-2023,Level,Visual,0.022471910,0,2,89
01-01-2023,Goal,Visual,0.475409836,0,29,61
01-01-2023,Streak,Visual,0.2,0,6,30
01-01-2023,Collection,Visual,0.025,0,1,40
01-01-2023,Course Certificate,Visual,0.179487179,0,7,39
02-01-2023,Text Post,Text Post,1,1,1,1
02-01-2023,Level,Visual,0.007462687,0,1,134
02-01-2023,Goal,Visual,0.25,0,1,4
02-01-2023,Streak,Visual,0.157894737,0,3,19
02-01-2023,Collection,Visual,0,0,0,74
02-01-2023,Course Certificate,Visual,0.258620690,0,15,58
03-01-2023,Text Post,Text Post,1,1,1,1
03-01-2023,Level,Visual,0.044117647,0,6,136
03-01-2023,Streak,Visual,0.2,0,3,15
03-01-2023,Collection,Visual,0,0,0,79
03-01-2023,Course Certificate,Visual,0.305555556,0,11,36
04-01-2023,Text Post,Text Post,1,1,3,3
04-01-2023,Level,Visual,0.022058824,0,3,136
04-01-2023,Streak,Visual,0.222222222,0,4,18
04-01-2023,Collection,Visual,0.016393443,0,1,61
04-01-2023,Course Certificate,Visual,0.288135593,3,17,59
05-01-2023,Text Post,Text Post,1,1,2,2
05-01-2023,Level,Visual,0.066176471,2,9,136
05-01-2023,Streak,Visual,0.129032258,0,4,31
05-01-2023,Collection,Visual,0.086956522,0,6,69
05-01-2023,Course Certificate,Visual,0.113207547,0,6,53
06-01-2023,Level,Visual,0.021897810,1,3,137
06-01-2023,Streak,Visual,0.142857143,0,4,28
06-01-2023,Collection,Visual,0,0,0,57
06-01-2023,Course Certificate,Visual,0.173076923,1,9,52
07-01-2023,Level,Visual,0.009803922,0,1,102
07-01-2023,Goal,Visual,0.666666667,0,2,3
07-01-2023,Streak,Visual,0.179487179,0,7,39
07-01-2023,Collection,Visual,0.035714286,0,2,56
07-01-2023,Course Certificate,Visual,0.2,1,7,35
07-01-2023,Career Track Certificate,Visual,0.5,1,1,2
08-01-2023,Level,Visual,0.027210884,1,4,147
08-01-2023,Goal,Visual,0.516129032,0,32,62
08-01-2023,Streak,Visual,0.206896552,0,6,29
08-01-2023,Collection,Visual,0.036363636,0,2,55
08-01-2023,Course Certificate,Visual,0.139240506,0,11,79
09-01-2023,Text Post,Text Post,1,1,1,1
09-01-2023,Level,Visual,0.017241379,0,2,116
09-01-2023,Goal,Visual,0,0,0,2
09-01-2023,Streak,Visual,0.178571429,0,5,28
09-01-2023,Collection,Visual,0.063291139,1,5,79
09-01-2023,Course Certificate,Visual,0.191489362,2,9,47
09-01-2023,Career Track Certificate,Visual,1,1,1,1
10-01-2023,Text Post,Text Post,1,2,2,2
10-01-2023,Level,Visual,0,0,0,135
10-01-2023,Streak,Visual,0.25,0,7,28
10-01-2023,Collection,Visual,0.016666667,0,1,60
10-01-2023,Course Certificate,Visual,0.181818182,0,8,44
10-01-2023,Career Track Certificate,Visual,0.5,1,1,2
11-01-2023,Text Post,Text Post,1,3,3,3
11-01-2023,Level,Visual,0.029629630,2,4,135
11-01-2023,Streak,Visual,0.166666667,1,4,24
11-01-2023,Collection,Visual,0.032258065,0,2,62
11-01-2023,Course Certificate,Visual,0.224489796,0,11,49
11-01-2023,Career Track Certificate,Visual,0,0,0,1
12-01-2023,Level,Visual,0.023622047,0,3,127
12-01-2023,Streak,Visual,0.269230769,0,7,26
12-01-2023,Collection,Visual,0.033898305,0,2,59
12-01-2023,Course Certificate,Visual,0.282608696,1,13,46
13-01-2023,Text Post,Text Post,1,2,2,2
13-01-2023,Level,Visual,0.047244094,0,6,127
13-01-2023,Streak,Visual,0.119047619,0,5,42
13-01-2023,Collection,Visual,0.061224490,0,3,49
13-01-2023,Course Certificate,Visual,0.333333333,0,18,54
14-01-2023,Text Post,Text Post,1,1,1,1
14-01-2023,Level,Visual,0.101851852,0,11,108
14-01-2023,Goal,Visual,0.6,0,3,5
14-01-2023,Streak,Visual,0.277777778,0,10,36
14-01-2023,Collection,Visual,0.038461538,0,1,26
